CODUSU,COMPONENTE,Edad,Genero,adulto_equiv,ad_equiv_hogar
TQSMNORTQHLMNUCDEIJAH00718881,2,7,2,0.66,2.99
TQSMNORTQHLMNUCDEIJAH00718881,3,4,2,0.55,2.99
TQSMNORTQHLMNUCDEIJAH00718881,4,26,1,1.02,2.99
TQRMNOSVVHLMNUCDEIJAH00718851,1,69,1,0.83,0.83
TQRMNOUWRHMONSCDEIJAH00801952,1,46,2,0.76,1.53
TQRMNOUWRHMONSCDEIJAH00801952,4,17,2,0.77,1.53
TQRMNOTVPHKOKMCDEIJAH00780522,1,35,1,1.0,1.0
TQRMNOPPTHKMKNCDEIJAH00780451,3,26,1,1.02,1.02
TQRMNORPSHMMKPCDEIJAH00801946,1,63,2,0.67,0.67
TQRMNOSPQHMMKPCDEIJAH00801947,1,53,1,1.0,1.0
TQRMNOPXRHKMNMCDEIJAH00780752,2,38,1,1.0,1.0
TQRMNOQVVHMOSTCDEIJAH00801998,1,52,1,1.0,3.28
TQRMNOQVVHMOSTCDEIJAH00801998,2,52,2,0.76,3.28
TQRMNOQVVHMOSTCDEIJAH00801998,3,18,2,0.76,3.28
TQRMNOQVVHMOSTCDEIJAH00801998,4,18,2,0.76,3.28
TQRMNOPVVHKMSTCDEIJAH00780799,1,45,2,0.77,3.81
TQRMNOPVVHKMSTCDEIJAH00780799,2,50,1,1.0,3.81
TQRMNOPVVHKMSTCDEIJAH00780799,3,28,1,1.02,3.81
TQRMNOPVVHKMSTCDEIJAH00780799,4,20,1,1.02,3.81
TQRMNOQUSHLLTRCDEIJAH00719434,1,80,2,0.63,0.63
TQRMNOSVPHLLTRCDEIJAH00719343,1,45,2,0.77,1.47
TQRMNOSVPHLLTRCDEIJAH00719343,3,10,2,0.7,1.47
TQRMNOSPPHJMPLCDEIJAH00797093,1,66,2,0.67,0.67
TQRMNOSVTHKMTLCDEIJAH00780776,1,75,2,0.67,1.43
TQRMNOSVTHKMTLCDEIJAH00780776,2,23,2,0.76,1.43
TQRMNOQVYHKOTMCDEIJAH00780260,1,81,2,0.63,2.39
TQRMNORWSHMOKUCDEIJAH00802600,2,64,2,0.67,0.67
TQRMNOPRQHKKKTCDEIIAD00780087,4,32,2,0.77,3.27
TQRMNORTRHLKLPCDEIIAD00718532,1,49,2,0.76,0.76
TQRMNORTSHLKLPCDEIIAD00718533,1,35,2,0.77,0.77
TQRMNOQPRHMLLLCDEIIAD00801864,1,28,2,0.76,1.4
TQRMNOQPRHMLLLCDEIIAD00801864,2,6,1,0.64,1.4
TQRMNOQVYHKOTMCDEIJAH00780260,2,58,2,0.76,2.39
TQRMNOQVYHKOTMCDEIJAH00780260,3,60,1,1.0,2.39
TQRMNOQPSHKOLOCDEIJAH00780258,1,47,1,1.0,1.77
TQRMNOQPSHKOLOCDEIJAH00780258,2,44,2,0.77,1.77
TQRMNOTWPHMMLMCDEIJAH00802608,1,30,2,0.77,2.09
TQRMNOTWPHMMLMCDEIJAH00802608,3,11,2,0.72,2.09
TQRMNOTWPHMMLMCDEIJAH00802608,4,5,2,0.6,2.09
TQRMNOSPUHMMOQCDEIJAH00802618,1,45,2,0.77,3.53
TQRMNOSPUHMMOQCDEIJAH00802618,2,38,1,1.0,3.53
TQRMNOSPUHMMOQCDEIJAH00802618,3,56,1,1.0,3.53
TQRMNOSPUHMMOQCDEIJAH00802618,4,14,2,0.76,3.53
TQRMNOQQXHLKSPCDEIJAH00780906,1,58,2,0.76,0.76
TQRMNOPUXHJMSUCDEIJAH00802627,3,11,2,0.72,0.72
TQRMNOQXWHKORSCDEIJAH00786027,1,48,2,0.76,4.3
TQRMNOPRUHLLLQCDEIJAH00802613,1,47,2,0.76,0.76
TQRMNOPXYHKMNLCDEIIAD00779930,1,27,1,1.02,1.02
TQRMNORRQHKMLRCDEIJAH00780186,1,67,2,0.67,0.67
TQRMNOPTQHJNMRCDEIJAH00795073,2,4,2,0.55,0.55
TQRMNOPVTHLMMLCDEIJAH00719550,1,77,1,0.74,1.41
TQRMNOPVTHLMMLCDEIJAH00719550,2,74,2,0.67,1.41
TQRMNOPWRHLMMMCDEIJAH00802619,1,36,1,1.0,2.98
TQRMNOPWRHLMMMCDEIJAH00802619,2,30,2,0.77,2.98
TQRMNOPWRHLMMMCDEIJAH00802619,3,7,1,0.66,2.98
TQRMNOPWRHLMMMCDEIJAH00802619,4,4,1,0.55,2.98
TQRMNOQXWHKORSCDEIJAH00786027,2,43,1,1.0,4.3
TQRMNOQXWHKORSCDEIJAH00786027,3,25,1,1.02,4.3
TQRMNOQXWHKORSCDEIJAH00786027,4,18,2,0.76,4.3
TQRMNOQXWHKORSCDEIJAH00786027,5,14,2,0.76,4.3
TQRMNOPQSHLOTOCDEIJAH00718664,1,40,1,1.0,3.57
TQRMNOPQSHLOTOCDEIJAH00718664,2,34,2,0.77,3.57
TQRMNOPQSHLOTOCDEIJAH00718664,3,17,1,1.04,3.57
TQRMNOPQSHLOTOCDEIJAH00718664,4,13,2,0.76,3.57
TQRMNOPXSHMKOMCDEIJAH00802587,2,97,2,0.63,0.63
TQRMNORQRHLNNPCDEIJAH00719281,1,50,2,0.76,4.31
TQRMNORQRHLNNPCDEIJAH00719281,2,24,2,0.76,4.31
TQRMNORQRHLNNPCDEIJAH00719281,3,18,2,0.76,4.31
TQRMNORQRHLNNPCDEIJAH00719281,4,21,2,0.76,4.31
TQRMNORQRHLNNPCDEIJAH00719281,5,13,2,0.76,4.31
TQRMNORQRHLNNPCDEIJAH00719281,6,3,1,0.51,4.31
TQSMNOPTWHJOQQCDEIJAH00802601,2,30,2,0.77,1.32
TQSMNOPTWHJOQQCDEIJAH00802601,3,4,1,0.55,1.32
TQRMNOQQXHMOQQCDEIJAH00802602,1,43,1,1.0,2.73
TQSMNOQTQHKMTRCDEIJAH00780630,1,62,2,0.67,0.67
TQRMNOQTWHLLTTCDEIJAH00719345,1,57,1,1.0,2.5
TQRMNOQTWHLLTTCDEIJAH00719345,2,58,2,0.76,2.5
TQRMNOQTWHLLTTCDEIJAH00719345,3,87,1,0.74,2.5
TQRMNORVPHMLKMCDEIJAH00802631,1,27,1,1.02,2.7
TQRMNORVPHMLKMCDEIJAH00802631,2,23,2,0.76,2.7
TQRMNORVPHMLKMCDEIJAH00802631,3,4,2,0.55,2.7
TQRMNORVPHMLKMCDEIJAH00802631,4,1,1,0.37,2.7
TQRMNORYXHMMKMCDEIJAH00802632,1,37,2,0.77,1.79
TQRMNORYXHMMKMCDEIJAH00802632,2,26,1,1.02,1.79
TQRMNOQQXHMOQQCDEIJAH00802602,3,17,1,1.04,2.73
TQRMNOQQXHMOQQCDEIJAH00802602,4,9,1,0.69,2.73
TQRMNORPQHMNORCDEIJAH00802624,1,84,1,0.74,1.41
TQRMNORPQHMNORCDEIJAH00802624,2,72,2,0.67,1.41
TQRMNOQVPHLOOSCDEIJAH00780729,2,40,2,0.77,2.55
TQRMNOQVPHLOOSCDEIJAH00780729,3,19,1,1.02,2.55
TQRMNOQVPHLOOSCDEIJAH00780729,5,20,2,0.76,2.55
TQRMNOPTUHMLKRCDEIJAH00802634,1,49,2,0.76,2.13
TQRMNOPTUHMLKRCDEIJAH00802634,2,50,1,1.0,2.13
TQRMNOPTUHMLKRCDEIJAH00802634,3,1,1,0.37,2.13
TQRMNOQTXHLKQSCDEIJAH00780634,1,73,2,0.67,1.67
TQRMNOQTXHLKQSCDEIJAH00780634,2,47,1,1.0,1.67
TQRMNORXTHKKKRCDEIIAD00801851,1,28,1,1.02,1.78
TQRMNORXTHKKKRCDEIIAD00801851,2,29,2,0.76,1.78
TQRMNORVXHMKLMCDEIIAD00801852,1,59,1,1.0,2.0
TQRMNORVXHMKLMCDEIIAD00801852,2,54,1,1.0,2.0
TQRMNORSPHKMLOCDEIIAD00779972,1,62,2,0.67,0.67
TQRMNORSVHMNLTCDEIIAD00801853,1,62,1,0.83,1.5
TQRMNOQYVHLMLUCDEIIAD00718345,1,55,2,0.76,2.54
TQRMNOQYVHLMLUCDEIIAD00718345,3,25,1,1.02,2.54
TQRMNOQYVHLMLUCDEIIAD00718345,4,22,2,0.76,2.54
TQRMNORPSHKOLQCDEIIAD00779967,1,81,1,0.74,1.37
TQRMNORPSHKOLQCDEIIAD00779967,2,83,2,0.63,1.37
TQRMNOTUXHKMLRCDEIIAD00780048,1,77,2,0.63,3.8
TQRMNOTUXHKMLRCDEIIAD00780048,2,78,1,0.74,3.8
TQRMNOTUXHKMLRCDEIIAD00780048,3,51,1,1.0,3.8
TQRMNOPSPHLNMQCDEIJAH00719270,1,32,2,0.77,5.9
TQRMNOPSPHLNMQCDEIJAH00719270,3,15,1,1.0,5.9
TQRMNOPSPHLNMQCDEIJAH00719270,4,13,2,0.76,5.9
TQRMNOPSPHLNMQCDEIJAH00719270,5,11,1,0.82,5.9
TQRMNOPSPHLNMQCDEIJAH00719270,6,9,2,0.69,5.9
TQRMNOPSPHLNMQCDEIJAH00719270,7,7,1,0.66,5.9
TQRMNOPSPHLNMQCDEIJAH00719270,8,5,2,0.6,5.9
TQRMNOPSPHLNMQCDEIJAH00719270,9,5,2,0.6,5.9
TQRMNOSPTHKNMOCDEIJAH00780447,1,51,1,1.0,3.94
TQRMNOSPTHKNMOCDEIJAH00780447,3,20,1,1.02,3.94
TQRMNOSPTHKNMOCDEIJAH00780447,4,14,1,0.96,3.94
TQRMNOSPTHKNMOCDEIJAH00780447,5,14,1,0.96,3.94
TQRMNOVYPHMKMQCDEIJAH00802604,1,83,1,0.74,0.74
TQRMNOQRRHLOLRCDEIJAH00719258,1,50,1,1.0,2.78
TQRMNOQRRHLOLRCDEIJAH00719258,2,54,2,0.76,2.78
TQRMNOQRRHLOLRCDEIJAH00719258,3,24,1,1.02,2.78
TQRMNOSXRHLOLRCDEIJAH00719259,1,45,2,0.77,2.4
TQRMNOSXRHLOLRCDEIJAH00719259,2,75,2,0.67,2.4
TQRMNOSXRHLOLRCDEIJAH00719259,4,14,1,0.96,2.4
TQRMNORSVHMNLTCDEIIAD00801853,2,61,2,0.67,1.5
TQRMNOQTTHJNOLCDEIIAD00801854,1,37,1,1.0,1.0
TQRMNOTUXHKMLRCDEIIAD00780048,4,50,2,0.76,3.8
TQRMNOTUXHKMLRCDEIIAD00780048,5,61,2,0.67,3.8
TQRMNOPSTHMKLPCDEIIAD00801860,1,71,1,0.83,1.85
TQRMNOPSTHMKLPCDEIIAD00801860,2,21,1,1.02,1.85
TQSMNORTVHJNMRCDEIJAH00796769,1,23,2,0.76,2.77
TQSMNORTVHJNMRCDEIJAH00796769,2,30,1,1.0,2.77
TQSMNORTVHJNMRCDEIJAH00796769,3,4,1,0.55,2.77
TQSMNORTVHJNMRCDEIJAH00796769,4,2,1,0.46,2.77
TQRMNORPXHJKLLCDEIIAD00796504,1,50,1,1.0,2.67
TQRMNORPXHJKLLCDEIIAD00796504,2,34,2,0.77,2.67
TQRMNORPXHJKLLCDEIIAD00796504,3,13,1,0.9,2.67
TQRMNOVQUHKMLOCDEIIAD00779970,2,9,2,0.69,1.35
TQRMNOVQUHKMLOCDEIIAD00779970,3,7,2,0.66,1.35
TQRMNOPRPHKLLPCDEIIAD00785310,1,28,1,1.02,1.02
TQRMNORPWHKLLPCDEIIAD00780108,1,66,1,0.83,1.46
TQRMNORPWHKLLPCDEIIAD00780108,2,80,2,0.63,1.46
TQRMNOPUPHKOLQCDEIIAD00779755,1,76,2,0.63,0.63
TQRMNORSTHMKLPCDEIIAD00801869,1,39,2,0.77,1.91
TQRMNORSTHMKLPCDEIIAD00801869,2,17,2,0.77,1.91
TQRMNORSTHMKLPCDEIIAD00801869,3,1,1,0.37,1.91
TQRMNOQRRHJMLPCDEIIAD00796759,1,49,2,0.76,0.76
TQRMNOQRTHJMLPCDEIIAD00796912,1,35,2,0.77,0.77
TQRMNOQXPHJKLQCDEIIAD00801870,1,54,1,1.0,3.81
TQRMNOQXPHJKLQCDEIIAD00801870,2,57,2,0.76,3.81
TQRMNOQXPHJKLQCDEIIAD00801870,3,18,1,1.02,3.81
TQRMNOQXPHJKLQCDEIIAD00801870,4,16,1,1.03,3.81
TQRMNOQRQHJKMMCDEIIAD00796243,3,17,2,0.77,1.67
TQRMNOQRQHJKMMCDEIIAD00796243,4,13,1,0.9,1.67
TQRMNOPSUHKMNUCDEIIAD00785311,1,42,1,1.0,1.0
TQRMNOPTWHKMNUCDEIIAD00779760,1,41,1,1.0,2.96
TQRMNOPTWHKMNUCDEIIAD00779760,2,43,2,0.77,2.96
TQRMNOPTWHKMNUCDEIIAD00779760,3,6,2,0.64,2.96
TQRMNOTYVHJLNNCDEIIAD00796761,1,46,2,0.76,3.14
TQRMNOTYVHJLNNCDEIIAD00796761,2,46,1,1.0,3.14
TQRMNOTYVHJLNNCDEIIAD00796761,3,11,2,0.72,3.14
TQRMNOTYVHJLNNCDEIIAD00796761,4,7,1,0.66,3.14
TQRMNORTSHKMNRCDEIIAD00801868,1,43,1,1.0,1.0
TQRMNOPTWHKMNUCDEIIAD00779760,4,4,1,0.55,2.96
TQRMNORRRHKMNUCDEIIAD00785551,2,43,2,0.77,2.48
TQRMNORRRHKMNUCDEIIAD00785551,3,22,1,1.02,2.48
TQRMNORRRHKMNUCDEIIAD00785551,4,9,2,0.69,2.48
TQRMNOTYXHKMOLCDEIIAD00785336,2,36,1,1.0,1.0
TQRMNOTURHMNNRCDEIIAD00801871,1,75,2,0.67,0.67
TQRMNOUSYHMNNRCDEIIAD00801872,1,30,1,1.0,1.0
TQRMNOUQSHMNNSCDEIIAD00801873,2,43,2,0.77,1.81
TQRMNOUQSHMNNSCDEIIAD00801873,3,17,1,1.04,1.81
TQRMNOVPWHJNNSCDEIIAD00796731,2,30,2,0.77,0.77
TQSMNOPPTHKMKNCDEIJAH00780452,1,86,2,0.63,0.63
TQRMNORRVHLLKNCDEIJAH00718906,1,68,2,0.67,0.67
TQRMNOTPRHJOKPCDEIJAH00794475,1,64,2,0.67,0.67
TQRMNOQQWHLMQQCDEIJAH00719332,2,45,2,0.77,3.34
TQRMNOQQWHLMQQCDEIJAH00719332,3,17,1,1.04,3.34
TQRMNOQQWHLMQQCDEIJAH00719332,4,15,2,0.77,3.34
TQRMNOQQWHLMQQCDEIJAH00719332,5,14,2,0.76,3.34
TQRMNOTTYHLMQQCDEIJAH00802589,1,49,2,0.76,2.14
TQRMNOTTYHLMQQCDEIJAH00802589,2,11,2,0.72,2.14
TQRMNOTTYHLMQQCDEIJAH00802589,3,7,2,0.66,2.14
TQRMNOUPVHLMQQCDEIJAH00719333,1,48,1,1.0,4.49
TQRMNOUPVHLMQQCDEIJAH00719333,2,28,2,0.76,4.49
TQRMNOUPVHLMQQCDEIJAH00719333,3,10,2,0.7,4.49
TQRMNOUPVHLMQQCDEIJAH00719333,4,5,2,0.6,4.49
TQRMNOUPVHLMQQCDEIJAH00719333,5,4,1,0.55,4.49
TQRMNOUPVHLMQQCDEIJAH00719333,6,3,2,0.51,4.49
TQRMNOUPVHLMQQCDEIJAH00719333,7,1,1,0.37,4.49
TQRMNOQXUHMMTRCDEIJAH00802596,1,37,2,0.77,2.36
TQRMNOQXUHMMTRCDEIJAH00802596,2,16,2,0.77,2.36
TQRMNOQXUHMMTRCDEIJAH00802596,3,11,1,0.82,2.36
TQRMNOQTRHKOKMCDEIJAH00780778,1,70,1,0.83,1.46
TQRMNOQTRHKOKMCDEIJAH00780778,2,76,2,0.63,1.46
TQRMNOPYUHJLMTCDEIJAH00796250,1,32,1,1.0,1.79
TQRMNOPYUHJLMTCDEIJAH00796250,2,10,1,0.79,1.79
TQSMNOPRWHLMMOCDEIJAH00719269,1,33,2,0.77,1.73
TQSMNOPRWHLMMOCDEIJAH00719269,2,14,1,0.96,1.73
TQRMNOPSUHLNMQCDEIJAH00719430,2,47,2,0.76,3.82
TQRMNOPSUHLNMQCDEIJAH00719430,4,23,2,0.76,3.82
TQRMNOPSUHLNMQCDEIJAH00719430,5,19,2,0.76,3.82
TQRMNOPSUHLNMQCDEIJAH00719430,6,12,1,0.85,3.82
TQRMNOSXXHKMQNCDEIJAH00780852,2,35,2,0.77,4.04
TQRMNOSXXHKMQNCDEIJAH00780852,3,13,2,0.76,4.04
TQRMNOSXXHKMQNCDEIJAH00780852,4,12,2,0.74,4.04
TQRMNOSXXHKMQNCDEIJAH00780852,5,15,1,1.0,4.04
TQRMNOSXXHKMQNCDEIJAH00780852,6,16,2,0.77,4.04
TQRMNOPQXHLNQSCDEIJAH00719335,1,55,1,1.0,3.37
TQRMNOPQXHLNQSCDEIJAH00719335,2,51,2,0.76,3.37
TQRMNOPQXHLNQSCDEIJAH00719335,5,19,2,0.76,3.37
TQRMNOPQXHLNQSCDEIJAH00719335,6,12,1,0.85,3.37
TQRMNORRRHLNQSCDEIJAH00780835,2,48,2,0.76,1.78
TQRMNORRRHLNQSCDEIJAH00780835,3,26,1,1.02,1.78
TQRMNOSUUHJKQMCDEIJAH00795265,1,37,1,1.0,1.0
TQRMNORWPHLKPRCDEIJAH00718675,1,36,1,1.0,1.77
TQRMNORWPHLKPRCDEIJAH00718675,2,41,2,0.77,1.77
TQRMNOQPVHKLTSCDEIJAH00780369,1,44,1,1.0,2.53
TQRMNOQPVHKLTSCDEIJAH00780369,2,44,2,0.77,2.53
TQRMNOQPVHKLTSCDEIJAH00780369,3,20,2,0.76,2.53
TQRMNOPSUHLNMQCDEIJAH00719430,7,9,1,0.69,3.82
TQRMNOPQYHLMMSCDEIJAH00802635,1,68,2,0.67,1.5
TQRMNOPQYHLMMSCDEIJAH00802635,2,69,1,0.83,1.5
TQRMNOQPRHKOMTCDEIJAH00780248,1,68,2,0.67,0.67
TQRMNORXTHJKMQCDEIIAD00794537,2,37,2,0.77,2.29
TQRMNORXTHJKMQCDEIIAD00794537,3,2,1,0.46,2.29
TQRMNORXTHJKMQCDEIIAD00794537,4,2,1,0.46,2.29
TQRMNORXTHJKMQCDEIIAD00794537,5,5,2,0.6,2.29
TQRMNOSUQHLLNLCDEIIAD00801875,1,41,1,1.0,3.13
TQRMNOSUQHLLNLCDEIIAD00801875,2,42,2,0.77,3.13
TQRMNOSUQHLLNLCDEIIAD00801875,3,12,1,0.85,3.13
TQRMNOSUQHLLNLCDEIIAD00801875,4,3,1,0.51,3.13
TQRMNORTRHJKMSCDEIIAD00794538,1,73,2,0.67,1.5
TQRMNORTRHJKMSCDEIIAD00794538,2,68,1,0.83,1.5
TQRMNORTUHJKMSCDEIIAD00794539,1,62,2,0.67,1.67
TQRMNORTUHJKMSCDEIIAD00794539,2,54,1,1.0,1.67
TQRMNOPRWHMNQUCDEIJAH00802592,1,45,2,0.77,1.79
TQRMNOPRWHMNQUCDEIJAH00802592,2,18,1,1.02,1.79
TQRMNOPUUHMKRLCDEIJAH00802593,1,31,1,1.0,1.0
TQRMNORQYHJLRNCDEIJAH00797081,1,69,1,0.83,1.5
TQRMNORQYHJLRNCDEIJAH00797081,2,69,2,0.67,1.5
TQRMNOQTQHLNRMCDEIJAH00719348,2,68,2,0.67,0.67
TQRMNOQTSHLNRMCDEIJAH00780203,1,73,1,0.83,1.59
TQRMNOTRQHKMQUCDEIJAH00785757,1,45,1,1.0,3.43
TQRMNOTRQHKMQUCDEIJAH00785757,2,46,2,0.76,3.43
TQRMNOTRQHKMQUCDEIJAH00785757,3,17,2,0.77,3.43
TQRMNOQYRHLMPUCDEIJAH00719442,1,36,1,1.0,4.57
TQRMNOQYRHLMPUCDEIJAH00719442,2,43,2,0.77,4.57
TQRMNOQRXHMMPTCDEIJAH00802607,1,58,2,0.76,0.76
TQRMNORPUHLLQLCDEIJAH00718656,1,57,1,1.0,5.3
TQRMNORPUHLLQLCDEIJAH00718656,2,55,2,0.76,5.3
TQRMNORPUHLLQLCDEIJAH00718656,3,30,1,1.0,5.3
TQRMNORPUHLLQLCDEIJAH00718656,4,28,2,0.76,5.3
TQRMNORPUHLLQLCDEIJAH00718656,6,24,2,0.76,5.3
TQRMNORPUHLLQLCDEIJAH00718656,7,21,1,1.02,5.3
TQRMNOQXVHLMPUCDEIJAH00719441,1,77,1,0.74,1.41
TQRMNOQXVHLMPUCDEIJAH00719441,2,72,2,0.67,1.41
TQRMNOQYRHLMPUCDEIJAH00719442,1,58,2,0.76,4.57
TQRMNOQYRHLMPUCDEIJAH00719442,3,29,1,1.02,4.57
TQRMNOQYRHLMPUCDEIJAH00719442,4,27,1,1.02,4.57
TQRMNOTRQHKMQUCDEIJAH00785757,4,13,1,0.9,3.43
TQRMNOSXVHLMRRCDEIJAH00719351,1,78,2,0.63,0.63
TQRMNOUQPHLKRSCDEIJAH00780153,1,28,2,0.76,2.22
TQRMNOUQPHLKRSCDEIJAH00780153,2,31,1,1.0,2.22
TQRMNOUQPHLKRSCDEIJAH00780153,3,2,1,0.46,2.22
TQRMNORSWHJMSLCDEIJAH00796267,1,69,2,0.67,3.93
TQRMNORSWHJMSLCDEIJAH00796267,2,78,1,0.74,3.93
TQRMNORSWHJMSLCDEIJAH00796267,3,46,2,0.76,3.93
TQRMNORSWHJMSLCDEIJAH00796267,4,22,1,1.02,3.93
TQRMNORSWHJMSLCDEIJAH00796267,5,12,2,0.74,3.93
TQRMNOQVSHMLRUCDEIJAH00802599,1,22,2,0.76,1.78
TQRMNOQVSHMLRUCDEIJAH00802599,2,22,1,1.02,1.78
TQRMNOSVXHKMTTCDEIJAH00780493,1,79,1,0.74,1.37
TQRMNOSVXHKMTTCDEIJAH00780493,2,79,2,0.63,1.37
TQRMNOQSXHJKRNCDEIJAH00802628,1,72,2,0.67,0.67
TQRMNORRXHMKKQCDEIJAH00802629,1,62,1,0.83,2.5
TQRMNORRXHMKKQCDEIJAH00802629,2,64,2,0.67,2.5
TQRMNORRXHMKKQCDEIJAH00802629,3,35,1,1.0,2.5
TQRMNORWWHMOTLCDEIJAH00802594,1,48,1,1.0,4.04
TQRMNORWWHMOTLCDEIJAH00802594,3,25,1,1.02,4.04
TQRMNORWWHMOTLCDEIJAH00802594,4,21,1,1.02,4.04
TQRMNORWWHMOTLCDEIJAH00802594,5,15,1,1.0,4.04
TQRMNOUTRHMMTRCDEIJAH00802622,1,43,1,1.0,2.53
TQRMNOUTRHMMTRCDEIJAH00802622,2,37,2,0.77,2.53
TQRMNOUTRHMMTRCDEIJAH00802622,3,13,2,0.76,2.53
TQRMNOQPVHKLSPCDEIJAH00780885,1,65,1,0.83,0.83
TQRMNOPWPHKKSQCDEIJAH00785762,1,59,1,1.0,1.67
TQRMNOPWPHKKSQCDEIJAH00785762,2,63,2,0.67,1.67
TQRMNORWUHKKSQCDEIJAH00780797,1,33,1,1.0,1.0
TQRMNOURQHLMNUCDEIJAH00780530,1,43,1,1.0,2.89
TQRMNOURQHLMNUCDEIJAH00780530,2,39,2,0.77,2.89
TQRMNOURQHLMNUCDEIJAH00780530,3,7,2,0.66,2.89
TQRMNOURQHLMNUCDEIJAH00780530,4,2,1,0.46,2.89
TQRMNOPTWHLLLNCDEIIAD00718592,1,43,1,1.0,4.15
TQRMNOPTWHLLLNCDEIIAD00718592,2,35,2,0.77,4.15
TQRMNOPTWHLLLNCDEIIAD00718592,3,15,1,1.0,4.15
TQRMNOPTWHLLLNCDEIIAD00718592,4,12,2,0.74,4.15
TQRMNOPTWHLLLNCDEIIAD00718592,5,6,2,0.64,4.15
TQRMNOPTYHLLLNCDEIIAD00801863,1,27,1,1.02,1.02
TQRMNOTRUHLKLOCDEIIAD00718547,1,33,2,0.77,2.36
TQRMNOTRUHLKLOCDEIIAD00718547,2,39,2,0.77,2.36
TQRMNOTRUHLKLOCDEIIAD00718547,3,11,1,0.82,2.36
TQRMNOPRQHKKKTCDEIIAD00780087,1,63,2,0.67,3.27
TQRMNOPRQHKKKTCDEIIAD00780087,2,64,1,0.83,3.27
TQRMNOPRQHKKKTCDEIIAD00780087,3,32,1,1.0,3.27
TQRMNOQVYHMMTQCDEIJAH00802614,1,49,2,0.76,1.52
TQRMNOQVYHMMTQCDEIJAH00802614,2,20,2,0.76,1.52
TQRMNORURHKMTLCDEIJAH00780881,1,49,2,0.76,2.5
TQRMNORURHKMTLCDEIJAH00780881,2,48,1,1.0,2.5
TQRMNORURHKMTLCDEIJAH00780881,3,12,2,0.74,2.5
TQRMNORPXHLMSUCDEIJAH00719226,5,8,1,0.68,3.57
TQTMNOPXYHMOSPCDEIJAH00802257,1,31,1,1.0,4.38
TQTMNOPXYHMOSPCDEIJAH00802257,2,33,2,0.77,4.38
TQTMNOPXYHMOSPCDEIJAH00802257,3,13,1,0.9,4.38
TQTMNOPXYHMOSPCDEIJAH00802257,4,10,1,0.79,4.38
TQTMNOPXYHMOSPCDEIJAH00802257,5,4,1,0.55,4.38
TQTMNOPXYHMOSPCDEIJAH00802257,6,1,1,0.37,4.38
TQRMNORRPHMOSQCDEIJAH00802259,1,35,2,0.77,4.91
TQRMNORRPHMOSQCDEIJAH00802259,2,15,2,0.77,4.91
TQRMNORRPHMOSQCDEIJAH00802259,3,12,1,0.85,4.91
TQRMNORRPHMOSQCDEIJAH00802259,4,9,2,0.69,4.91
TQRMNORRPHMOSQCDEIJAH00802259,5,8,1,0.68,4.91
TQRMNORRPHMOSQCDEIJAH00802259,6,6,1,0.64,4.91
TQRMNORRPHMOSQCDEIJAH00802259,7,3,2,0.51,4.91
TQRMNOPXTHMMSUCDEIJAH00802262,1,80,2,0.63,0.63
TQRMNOUVTHKMOOCDEIJAH00780465,1,38,1,1.0,2.37
TQRMNOUVTHKMOOCDEIJAH00780465,2,42,2,0.77,2.37
TQRMNOUVTHKMOOCDEIJAH00780465,3,5,1,0.6,2.37
TQRMNORTVHJMPOCDEIJAH00796662,1,69,2,0.67,0.67
TQRMNOSTYHKKSMCDEIJAH00786493,1,38,2,0.77,2.0
TQRMNOSTYHKKSMCDEIJAH00786493,2,38,2,0.77,2.0
TQRMNOWQYHLNKRCDEIIAD00718465,1,80,2,0.63,1.4
TQRMNOWQYHLNKRCDEIIAD00718465,2,42,2,0.77,1.4
TQRMNOQYYHLLLMCDEIIAD00718467,1,80,1,0.74,0.74
TQRMNOSTYHKKSMCDEIJAH00786493,3,2,2,0.46,2.0
TQRMNOSRTHJLTOCDEIJAH00793362,1,34,1,1.0,2.14
TQRMNOSRTHJLTOCDEIJAH00793362,2,34,2,0.77,2.14
TQRMNOSRTHJLTOCDEIJAH00793362,3,1,2,0.37,2.14
TQRMNOPRQHKLLPCDEIIAD00785565,1,36,1,1.0,1.77
TQRMNOPRQHKLLPCDEIIAD00785565,2,37,2,0.77,1.77
TQRMNOTQRHJKSNCDEIJAH00795849,1,34,1,1.0,1.0
TQRMNOPWRHLOSLCDEIJAH00719619,1,87,2,0.63,1.37
TQRMNOPWRHLOSLCDEIJAH00719619,2,85,1,0.74,1.37
TQRMNOPXQHLOSLCDEIJAH00780735,2,21,2,0.76,0.76
TQRMNORXXHLOSNCDEIJAH00719072,1,36,1,1.0,4.52
TQRMNORXXHLOSNCDEIJAH00719072,2,38,2,0.77,4.52
TQRMNORWPHJMTTCDEIJAH00793363,1,54,2,0.76,0.76
TQRMNORWVHMOTSCDEIJAH00802282,1,27,1,1.02,3.67
TQRMNORWVHMOTSCDEIJAH00802282,2,46,1,1.0,3.67
TQRMNORWVHMOTSCDEIJAH00802282,3,8,1,0.68,3.67
TQRMNORWVHMOTSCDEIJAH00802282,4,5,2,0.6,3.67
TQRMNORWVHMOTSCDEIJAH00802282,5,1,1,0.37,3.67
TQRMNOPVWHKMSTCDEIJAH00802284,1,58,2,0.76,0.76
TQRMNOSQTHKMSTCDEIJAH00780800,1,25,1,1.02,2.38
TQRMNOSQTHKMSTCDEIJAH00780800,2,24,2,0.76,2.38
