CODUSU,COMPONENTE,Edad,Genero,adulto_equiv,ad_equiv_hogar
TQRMNORVRHLMOQCDEIJAH00793806,1,68,2,0.67,0.67
TQRMNORPSHLOORCDEIJAH00801974,1,26,1,1.02,3.26
TQRMNOQVXHMOQPCDEIJAH00801978,3,24,2,0.76,1.78
TQRMNOQVXHMOQPCDEIJAH00801978,4,19,1,1.02,1.78
TQRMNOTQTHKMQNCDEIJAH00780476,1,47,1,1.0,3.54
TQRMNOTQTHKMQNCDEIJAH00780476,2,25,2,0.76,3.54
TQRMNOTQTHKMQNCDEIJAH00780476,3,14,1,0.96,3.54
TQRMNOTQTHKMQNCDEIJAH00780476,4,11,1,0.82,3.54
TQRMNOTXRHKNRPCDEIJAH00801953,1,61,1,0.83,1.85
TQRMNOTXRHKNRPCDEIJAH00801953,2,26,1,1.02,1.85
TQRMNORPSHLOORCDEIJAH00801974,2,22,1,1.02,3.26
TQRMNORPSHLOORCDEIJAH00801974,3,27,2,0.76,3.26
TQRMNORPSHLOORCDEIJAH00801974,4,2,1,0.46,3.26
TQRMNOQUWHLOOSCDEIJAH00718819,2,25,2,0.76,2.02
TQRMNOQUWHLOOSCDEIJAH00718819,3,7,2,0.66,2.02
TQRMNOQUWHLOOSCDEIJAH00718819,4,5,1,0.6,2.02
TQSMNOQUWHLOOSCDEIJAH00801976,2,26,2,0.76,1.77
TQSMNOQUWHLOOSCDEIJAH00801976,3,6,2,0.64,1.77
TQSMNOQUWHLOOSCDEIJAH00801976,4,1,1,0.37,1.77
TQRMNORQQHJMRLCDEIJAH00794098,1,66,1,0.83,0.83
TQRMNOSPUHJKNOCDEIIAD00794206,2,38,2,0.77,0.77
TQRMNOTUQHMNNRCDEIIAD00801650,1,60,1,1.0,1.76
TQRMNOTUQHMNNRCDEIIAD00801650,3,26,2,0.76,1.76
TQRMNOQYSHKLRQCDEIJAH00780830,1,49,1,1.0,1.0
TQSMNOTRRHLNOTCDEIJAH00801977,1,70,1,0.83,1.5
TQSMNOTRRHLNOTCDEIJAH00801977,2,65,2,0.67,1.5
TQRMNORSVHJNNPCDEIIAD00797527,1,48,1,1.0,1.77
TQRMNORSVHJNNPCDEIIAD00797527,2,42,2,0.77,1.77
TQRMNORYPHJNNQCDEIIAD00797529,1,72,1,0.83,1.5
TQRMNORYPHJNNQCDEIIAD00797529,2,68,2,0.67,1.5
TQRMNOSYXHLNNTCDEIIAD00718604,1,31,1,1.0,1.76
TQRMNOSYXHLNNTCDEIIAD00718604,2,27,2,0.76,1.76
TQRMNORQQHLMOLCDEIIAD00718501,1,26,2,0.76,0.76
TQRMNOSQTHLNONCDEIIAD00718369,1,46,1,1.0,1.55
TQRMNOSQTHLNONCDEIIAD00718369,3,4,2,0.55,1.55
TQRMNOPURHKNOOCDEIIAD00785716,1,34,1,1.0,1.0
TQRMNOSUVHJLKTCDEIJAH00794777,1,29,2,0.76,0.76
TQRMNOSQPHKMNRCDEIJAH00801968,1,86,1,0.74,1.37
TQRMNOSQPHKMNRCDEIJAH00801968,2,82,2,0.63,1.37
TQRMNOPRSHJMMPCDEIJAH00793807,1,47,1,1.0,3.29
TQRMNOPRSHJMMPCDEIJAH00793807,2,48,2,0.76,3.29
TQRMNOPRSHJMMPCDEIJAH00793807,3,24,2,0.76,3.29
TQRMNOPRSHJMMPCDEIJAH00793807,4,16,2,0.77,3.29
TQRMNOTXXHKMLRCDEIJAH00780377,2,52,2,0.76,2.54
TQRMNOTXXHKMLRCDEIJAH00780377,4,22,2,0.76,2.54
